index,n,digits_Q47n,log10_n
420,113498157321,511,11.054989
421,113660483086,511,11.055609
422,114246171966,511,11.057842
423,114497825913,511,11.058797
424,114703148315,511,11.059575
425,114756532718,511,11.059777
426,114986878169,511,11.060648
427,115372895197,511,11.062104
428,115817631640,511,11.063775
429,115821348670,511,11.063789
430,116255850744,511,11.065415
431,117347666774,511,11.069474
432,117961457777,511,11.071740
433,118005672016,511,11.071903
434,118323412292,512,11.073071
435,118551578372,512,11.073907
436,119200169424,512,11.076277
437,119434855593,512,11.077131
438,119456408269,512,11.077209
439,120541756903,512,11.081138
440,120805142626,512,11.082085
441,120854621882,512,11.082263
442,121059987182,512,11.083001
443,121540289494,512,11.084720
444,121978847679,512,11.086285
445,122341472147,512,11.087574
446,122625075193,512,11.088579
447,122663937161,512,11.088717
448,122726858402,512,11.088940
449,123037305944,512,11.090037
450,123172135550,512,11.090512
451,123209692698,512,11.090645
452,123354822863,512,11.091156
453,123499897759,512,11.091667
454,123744190364,512,11.092525
455,123817086064,512,11.092781
456,123847610498,512,11.092888
457,124047626857,512,11.093588
458,124201076593,513,11.094125
459,124246417533,513,11.094284
460,124340002320,513,11.094611
461,124749688743,513,11.096039
462,124939309254,513,11.096699
463,125202509283,513,11.097613
464,125315553985,513,11.098005
465,125385480009,513,11.098247
466,125387781789,513,11.098255
467,125479346652,513,11.098572
468,126368511389,513,11.101639
469,126378553414,513,11.101673
470,126441837157,513,11.101891
471,126468576199,513,11.101983
472,126720185652,513,11.102846
473,126755980783,513,11.102968
474,127023420463,513,11.103884
475,127197144447,513,11.104477
476,127365701377,513,11.105052
477,127408727027,513,11.105199
478,127772855880,513,11.106439
479,127853149134,513,11.106711
480,128243633768,513,11.108036
481,128617976142,513,11.109302
482,128781878679,513,11.109855
483,129289255356,513,11.111562
484,129476973894,513,11.112193
485,130043666633,513,11.114089
486,130549613720,513,11.115776
487,130581270765,514,11.115881
488,130583176000,514,11.115887
489,130601213839,514,11.115947
490,130626533910,514,11.116031
491,130854247187,514,11.116788
492,131021872001,514,11.117344
493,131070597161,514,11.117505
494,131892175950,514,11.120219
495,131931108516,514,11.120347
496,132170006476,514,11.121133
497,132447599813,514,11.122044
498,132571338233,514,11.122450
499,133054422117,514,11.124029
500,133226708613,514,11.124591
501,133610174966,514,11.125840
502,133674904373,514,11.126050
503,133722846597,514,11.126206
504,133876346358,514,11.126704
505,134300067464,514,11.128076
506,134804131302,514,11.129703
507,135322305241,514,11.131369
508,135369268633,514,11.131520
509,135856917348,514,11.133082
510,136520639442,514,11.135198
511,136669144206,514,11.135670
512,136777448619,514,11.136014
513,136960324515,514,11.136595
514,137498043673,515,11.138297
515,137764089159,515,11.139136
516,138502169745,515,11.141457
517,138538877147,515,11.141572
518,138840302974,515,11.142516
519,138879014824,515,11.142637
520,139069987737,515,11.143233
521,139263995829,515,11.143839
522,139809040646,515,11.145535
523,139920215481,515,11.145880
524,140277314588,515,11.146987
525,141239633209,515,11.149957
526,141412916884,515,11.150489
527,142267185460,515,11.153105
528,142679836174,515,11.154363
529,143291512168,515,11.156220
530,143460712621,515,11.156733
531,143522131581,515,11.156919
532,143649897765,515,11.157305
533,143701365982,515,11.157461
534,144124781467,515,11.158739
535,144136146365,515,11.158773
536,144267384750,515,11.159168
537,144659569462,516,11.160347
538,144845521110,516,11.160905
539,144920834326,516,11.161131
540,145179052957,516,11.161904
541,145406067723,516,11.162583
542,145512369301,516,11.162900
543,145649931242,516,11.163310
544,145893581559,516,11.164036
545,145950274885,516,11.164205
546,146015930981,516,11.164400
547,146272251918,516,11.165162
548,146683678058,516,11.166382
549,147201058417,516,11.167911
550,147336689777,516,11.168311
551,147358713944,516,11.168376
552,147451875854,516,11.168650
553,147454185372,516,11.168657
554,147659365989,516,11.169261
555,147683308082,516,11.169331
556,147743683226,516,11.169509
557,147891794536,516,11.169944
558,148186051228,516,11.170807
